state,value
Alaska,0.28
Alabama,-1
Arkansas,0.78
Arizona,-1
California,-1
Colorado,0.34
Connecticut,0.17
Disctrict of Columbia,-1
Delaware,-1
Florida,0.69
Georgia,0.7
Hawaii,-1
Iowa,0.19
Idaho,-1
Illinois,0.42
Indiana,0.09
Kansas,0.38
Kentucky,0.58
Louisiana,1.72
Massachusetts,-1
Maryland,0.57
Maine,0.23
Michigan,-1
Minnesota,0.01
Missouri,-1
Mississippi,0.65
Montana,0.43
North Carolina,0.83
North Dakota,-1
Nebraska,0.43
New Hampshire,0.03
New Jersey,-1
New Mexico,0.77
Nevada,0.4
New York,-1
Ohio,1.89
Oklahoma,1.48
Oregon,-1
Pennsylvania,0.31
Rhode Island,-1
South Carolina,1.28
South Dakota,-1
Tennessee,0.72
Texas,5.92
Utah,0.52
Virginia,1.49
Vermont,-1
Washington,-1
Wisconsin,0.03
West Virginia,0.28
Wyoming,0.14
